index,image_file,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\1.jpg,1,0,0,0,0,2,0,3.3457993000001807,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
1,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\2.jpg,1,0,1,1,1,1,1,0.825138299999935,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
2,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\3.jpg,1,0,2,2,2,3,0,0.9396796999999424,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
3,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\4.jpg,1,0,3,3,3,1,1,0.37192229999982374,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
4,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\5.jpg,1,0,4,4,4,1,1,0.27144540000017514,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
5,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\6.jpg,1,0,5,5,5,1,1,0.14025489999994534,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
6,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\7.jpg,1,0,6,6,6,1,1,0.10251590000007127,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
7,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\8.jpg,1,0,7,7,7,1,1,0.0626411000000644,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
8,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\9.jpg,1,0,8,8,8,1,1,0.1005336000000625,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
9,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\10.jpg,1,0,9,9,9,1,1,0.057382600000210005,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
10,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\11.jpg,1,0,10,10,10,1,1,0.036885100000063176,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
11,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\12.jpg,1,0,11,11,11,1,1,0.03913790000001427,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
12,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\13.jpg,1,0,12,12,12,1,1,0.05353470000000016,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
13,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\14.jpg,1,0,13,13,13,1,1,0.04249240000012833,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
14,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\15.jpg,1,0,14,14,14,1,1,0.11569730000019263,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
15,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\16.jpg,1,0,15,15,15,1,1,0.03610589999993863,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
16,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\17.jpg,1,0,16,16,16,1,1,0.022471699999869088,,001,2019_Sep_19_1131,Raven's progressive matrices,3.2.3,60.056128457639055,
